Wilayah,Panorama,Tipe Rekreasi,Target Prediksi (y)
Kab. Jembrana,Pantai,water sports,Medewi Beach
Kab. Badung,Pantai,Spot Foto,Tegal Wangi Beach
Kab. Karangasem,Pantai,water sports,Pantai Bias Tugel
Kab. Badung,Pantai,water sports,Pantai Geger
Kab. Badung,Pantai,berenang,Pantai Karma Kandara
Kab. Gianyar,Gunung,Spot Foto,Ubud Monkey Forest
Kab. Gianyar,Gunung,trekking,Ubud Monkey Forest
Kab. Karangasem,Gunung,Spot Foto,Savana Tianyar
Kab. Karangasem,Gunung,Spot Foto,Bukit Cinta Viewpoint
Kab. Karangasem,Gunung,Spot Foto,Lahangan Sweet
Kab. Bangli,Gunung,trekking,Gunung Abang
Kab. Gianyar,Sungai / Air Terjun,Spot Foto,Goa Rang Reng Waterfall
Kab. Bangli,Sungai / Air Terjun,Spot Foto,Bangkian Djaran Waterfall
Kab. Tabanan,Sungai / Air Terjun,Spot Foto,Leke Leke Waterfall
Kab. Badung,Sungai / Air Terjun,berenang,Nungnung Waterfall
Kab. Buleleng,Sungai / Air Terjun,trekking,Gitgit Waterfall
Kab. Badung,Perkotaan,Spot Foto,The Abandoned Airplane
Kab. Badung,Perkotaan,restaurant,Natys Restaurants Seminyak
Kab. Tabanan,Perkotaan,Souvenir,Teman Joger Luwus
Kab. Bangli,Perkotaan,restaurant,The Amora Bali
Kota Denpasar,Perkotaan,Souvenir,Krisna Oleh-oleh Bali Nusakambangan
Kab. Tabanan,Sawah / Perkebunan,Spot Foto,Terasering Soka 
Kab. Bangli,Sawah / Perkebunan,Spot Foto,Lembah Pantunan
Kab. Buleleng,Sawah / Perkebunan,Spot Foto,Rice Terrace Ambengan
Kab. Gianyar,Sawah / Perkebunan,wahana outbound,Alas Harum Tourism
Kab. Tabanan,Sawah / Perkebunan,wahana outbound,The Sila Agrotourism
Kab. Bangli,Gunung,trekking,Gunung Batur
Kab. Bangli,Sungai / Air Terjun,berenang,Air Terjun Tibumana
Kab. Buleleng,Pantai,Spot Foto,Pantai Lovina
Kab. Buleleng,Sawah / Perkebunan,Spot Foto,Busungbiu Rice Terace
Kab. Buleleng,Perkotaan,museum,Museum Gedong Kertya
Kab. Buleleng,Gunung,Spot Foto,Puncak Wanagiri
Kab. Gianyar,Pantai,water sports,Pantai Keramas
Kab. Gianyar,Perkotaan,museum,Museum Blanco Renaissance
Kab. Gianyar,Sawah / Perkebunan,monumen,Bali Bird Park
Kab. Jembrana,Pantai,berenang,Pantai Cendikusuma
Kab. Jembrana,Pantai,berenang,Pantai Blod Berawah
Kab. Jembrana,Sungai / Air Terjun,berenang,Air Terjun Yeh Embang Kangin
Kab. Jembrana,Sungai / Air Terjun,Spot Foto,Air Terjun Grojongan
Kab. Jembrana,Gunung,Spot Foto,Bunut Bolong
Kab. Jembrana,Perkotaan,monumen,Pura Majapahit
Kab. Karangasem,Pantai,berenang,Pantai Jemeluk
Kab. Karangasem,Sungai / Air Terjun,berenang,Air Terjun Jakasatru
Kab. Karangasem,Perkotaan,Spot Foto,Taman Sukasada
Kab. Klungkung,Pantai,berenang,May Day Gili
Kab. Klungkung,Perkotaan,museum,Museum Semarajaya
Kab. Klungkung,Perkotaan,monumen,Puncak Mundi Temple
Kab. Klungkung,Gunung,trekking,Bukit Caruban
Kab. Klungkung,Sawah / Perkebunan,Life as villager,Desa Wisata Bakas
Kab. Klungkung,Sungai / Air Terjun,Spot Foto,Bendungan Tukad Unda
Kab. Tabanan,Pantai,Spot Foto,Soka Beach
Kab. Tabanan,Gunung,Spot Foto,Gunung Batukaru
Kota Denpasar,Pantai,berjemur,Pantai Ku De Ta
Kota Denpasar,Pantai,Spot Foto,Pantai Cemara
Kota Denpasar,Perkotaan,Souvenir,Pasar Badung
Kota Denpasar,Sungai / Air Terjun,Spot Foto,Tukad Loloan Sanur
Kota Denpasar,Sawah / Perkebunan,monumen,Pusat Konservasi dan Pendidikan Penyu